Value,number
1.910000000000000000e+02,0
1.990000000000000000e+02,1
2.010000000000000000e+02,2
2.180000000000000000e+02,3
2.480000000000000000e+02,4
1.480000000000000000e+02,5
1.490000000000000000e+02,6
1.260000000000000000e+02,7
2.410000000000000000e+02,8
1.840000000000000000e+02,9
1.690000000000000000e+02,10
1.600000000000000000e+02,11
1.690000000000000000e+02,12
1.970000000000000000e+02,13
2.170000000000000000e+02,14
1.880000000000000000e+02,15
1.180000000000000000e+02,16
1.720000000000000000e+02,17
1.300000000000000000e+02,18
1.790000000000000000e+02,19
